unique_id,name,firstname,title,namesuffix,fblink1,fblink2,twlink,isListed,list_place,isDC,constituency,constituency_str,state,renewed_candidacy,party,sex,age,residence,birthplace,profession,author_id
1149,Weber,Gabi,NA,NA,https://www.facebook.com/Gabi.Weber.SPD,NA,https://twitter.com/GabiWeberSPD,1,7,1,204,Montabaur,7,1,2,0,1955,Wirges,Ebernhahn,MdB / Keramikmalerin,992808439
1151,Glöckner,Angelika,NA,NA,https://www.facebook.com/gloeckner.spd,https://www.facebook.com/angelika.glockner.1,https://twitter.com/A_Gloeckner,1,9,1,210,Pirmasens,7,1,2,0,1962,Lemberg,Pirmasens,MdB,976421048
1152,Kühl,Carsten,Prof. Dr.,NA,https://www.facebook.com/carsten.kuehl.spd,www.facebook.com/kuehl.spd,https://twitter.com/CarstenKuehl,1,10,1,205,Mainz,7,0,2,1,1962,Mainz,Lauterbach,Staatsminister a. D.,777118521629241344
1153,Mackensen,Isabel Larissa,NA,NA,https://www.facebook.com/isabel.mackensen,www.facebook.com/IMackensen,https://twitter.com/IsabelMackensen,1,11,1,208,Neustadt – Speyer,7,0,2,0,1986,Niederkirchen bei Deidesheim,Schwetzingen,Politikwissenschaftlerin,2322165327
1154,Weingarten,Joe,Dr.,NA,https://www.facebook.com/profile.php?id=100015346238236,NA,https://twitter.com/DrJoeWeingarten,1,12,1,201,Kreuznach,7,0,2,1,1962,Alsenz,Bad Kreuznach,Dipl.-Verwaltungswissenschaftler,811960243353780226
1155,Diedenhofen,Martin,NA,NA,https://www.facebook.com/Mdiedenhofen,https://www.facebook.com/profile.php?id=100007810997638,https://twitter.com/Mdiedenhofen,1,13,1,197,Neuwied,7,0,2,1,1995,Erpel,Bad Honnef,Student,785136227775344640
1179,Kastner,Benjamin,NA,NA,NA,NA,https://twitter.com/KastnerBen,1,37,0,NA,NA,7,0,2,1,1989,Kruft,Nordhausen,Student,487101956
1181,Höferlin,Manuel,NA,NA,https://www.facebook.com/Hoeferlin,https://www.facebook.com/ManuelHoeferlin,https://twitter.com/ManuelHoeferlin,1,1,1,206,Worms,7,0,6,1,1973,Harxheim,Paris,selbst. Unternehmer,17483463
1183,Brandenburg,Mario,NA,NA,https://www.facebook.com/Bra.FDP,https://www.facebook.com/MB.FDP,https://twitter.com/BraFDP,1,3,1,211,Südpfalz,7,0,6,1,1983,Rülzheim,Bad Bergzabern,Wirtschaftsinformatiker,802968497831739392
1184,Konrad,Carina,NA,NA,https://www.facebook.com/carinakonrad.fdp,https://www.facebook.com/carina.konrad.10,https://twitter.com/carina_konrad,1,4,1,200,Mosel/Rhein-Hunsrück,7,0,6,0,1982,Bickenbach,Simmern/ Hunsrück,Dipl.-Agraringenieurin (FH),874304935906729986
1187,Krämer,Jürgen,NA,NA,https://www.facebook.com/JuergenKraemerFDP,NA,https://twitter.com/jkraemerpruem,1,7,1,202,Bitburg,7,0,6,1,1971,Brandscheid,Prüm,Finanzökonom,202612772
1190,Steinhausen,Christina,NA,NA,NA,NA,https://twitter.com/ChSteinhausen,1,10,1,198,Ahrweiler,7,0,6,0,1979,Bad Neuenahr-Ahrweiler,Bonn,Redakteurin,60697182
1193,Dürr,Markus Ulrich,NA,NA,https://www.facebook.com/duerr.markus,https://www.facebook.com/profile.php?id=100013451200644,https://twitter.com/Markus_Duerr,1,13,1,208,Neustadt – Speyer,7,0,6,1,1993,Neustadt an der Weinstraße,Ludwigshafen am Rhein,Dipl.-Finanzwirt (FH),54212301
1201,Kopp,Christian,NA,NA,https://www.facebook.com/Christian-Kopp-141651189310276,https://www.facebook.com/christian.kopp.54,https://twitter.com/kopp77,1,21,0,NA,NA,7,0,6,1,1977,Kaiserslautern,Kaiserslautern,Prüfungsassistent,327297732
1202,Sanders,Claudia,NA,NA,https://www.facebook.com/ClaudiaSandersFDP,https://www.facebook.com/claudia.sanders.376,https://twitter.com/ClaudiaSanders,1,22,0,NA,NA,7,0,6,0,1966,Mörsbach,Düsseldorf,Journalistin,19838233
1221,Rößner,Tabea,NA,NA,https://www.facebook.com/tabea.roessner,www.facebook.com/tabearoessnermdb,https://twitter.com/TabeaRoessner,1,1,1,205,Mainz,7,1,4,0,1966,Mainz,Sassenberg,MdB,53351462
1222,Lindner,Tobias,Dr.,NA,https://www.facebook.com/tobias.lindner,NA,https://twitter.com/tobiaslindner,1,2,1,211,Südpfalz,7,1,4,1,1982,Wörth am Rhein,Karlsruhe,MdB,21197524
1223,Rüffer,Corinna,NA,NA,https://www.facebook.com/corinna.ruffer,NA,https://twitter.com/crueffer,1,3,1,203,Trier,7,1,4,0,1975,Trier,Osnabrück,Politikerin,1524735194
1226,Schmidt,Felix,NA,NA,https://www.facebook.com/schmidt.gruene,NA,https://twitter.com/felixschmidt90,1,6,1,210,Pirmasens,7,0,4,1,1990,Zweibrücken,Zweibrücken,Historiker,222099966
1231,Martin Martorell,Laura,NA,NA,https://www.facebook.com/lauramartinmartorell,NA,https://twitter.com/LauraEUGreen,1,11,0,NA,NA,7,0,4,0,1977,Koblenz,"Tarragona, Spanien",Publizistin,1423069494
1232,Zwiernik,Patrick,NA,NA,https://www.facebook.com/patrick.zwiernik,www.facebook.com/zwiernikpatrick,https://twitter.com/PatrickZwiernik,1,12,1,199,Koblenz,7,0,4,1,1988,Koblenz,Koblenz,Angestellter,167432618
1233,Neuhof,Anna,NA,NA,https://www.facebook.com/anna.neuhof.5,NA,https://twitter.com/annaneuhof,1,13,1,197,Neuwied,7,0,4,0,1952,Kirchen (Sieg),Wissen/Sieg,Krankenschwester,124190271
1236,Musil,Michael,NA,NA,https://www.facebook.com/michael.musil,NA,https://twitter.com/muslix,0,NA,1,204,Montabaur,7,0,4,1,1947,Montabaur,Wiesbaden,Rentner,23317699
1238,Dreher,Dirk Raik,NA,NA,https://www.facebook.com/RaikD,NA,https://twitter.com/RaikMe,0,NA,1,207,Ludwigshafen/Frankenthal,7,0,4,1,1968,Ludwigshafen am Rhein,Hennigsdorf,Volljurist,1553970210
1241,Werner,Katrin,NA,NA,https://www.facebook.com/katrin.werner.969,NA,https://twitter.com/Katrin_Werner,1,2,1,203,Trier,7,1,3,0,1973,Trier,Berlin,Kauffrau im Einzelhandel,224630872
1246,Morassi,Marion,NA,NA,https://www.facebook.com/Morassi.Marion/,https://www.facebook.com/marion.morassi,https://twitter.com/MarionMorassi,0,NA,1,198,Ahrweiler,7,0,3,0,1963,Bad Neuenahr-Ahrweiler,Bad Neuenahr,Reiseverkehrskauffrau,1145923909
1252,Knopf,Sebastian,NA,NA,https://www.facebook.com/sebastian.knopf1,https://www.facebook.com/sebastian.knopf2,https://twitter.com/sebastianknopf,0,NA,1,206,Worms,7,0,3,1,1977,Worms,Hoyerswerda,Außendienstmitarbeiter,434375216
1255,Münzenmaier,Sebastian,NA,NA,https://www.facebook.com/sebastian.muenzenmaier,https://www.facebook.com/profile.php?id=100014612233818,https://twitter.com/s_muenzenmaier,1,1,1,205,Mainz,7,0,7,1,1989,Mainz,Darmstadt,Geschäftsführer,863657874941255684
1259,Scheil,Stefan,Dr.,NA,https://www.facebook.com/stefan.scheil.historiker,www.facebook.com/Dr.Stefan.Scheil,https://twitter.com/ScheilDr,1,5,1,209,Kaiserslautern,7,0,7,1,1963,Neuhofen,Mannheim,Historiker,849550854529187841
1265,Damson,Thomas,NA,NA,https://www.facebook.com/thomasdamsonafd,https://www.facebook.com/thomas.damson,https://twitter.com/TDamson,1,11,1,199,Koblenz,7,0,7,1,1981,Bendorf,Stuttgart,Lehrer,63690441
1268,Ludwig,Erwin Nikolaus,NA,NA,https://www.facebook.com/erwin.ludwig.792,NA,https://twitter.com/erwinludwig_afd,0,NA,1,203,Trier,7,0,7,1,1958,Thörnich,Trier,Dipl.-Volkswirt,832663010271375364
1273,Widmann-Mauz,Annette,NA,NA,https://www.facebook.com/widmannmauz,NA,https://twitter.com/AWidmannMauz,1,2,1,290,Tübingen,8,1,1,0,1966,Balingen,Tübingen,MdB / parl. Staatssekretärin,3351905747
1275,Warken,Nina,NA,NA,https://www.facebook.com/warkennina,NA,https://twitter.com/ninawarken,1,4,0,NA,NA,8,1,1,0,1979,Tauberbischofsheim,Bad Mergentheim,MdB / Rechtsanwältin,65413134
1277,Bilger,Steffen,NA,NA,https://www.facebook.com/steffen.bilger.LB,NA,https://twitter.com/steffenbilger,1,6,1,265,Ludwigsburg,8,1,1,1,1979,Ludwigsburg,Schongau,MdB / Rechtsanwalt,23925041
1278,Kaufmann,Stefan,Dr.,NA,https://www.facebook.com/StefanKaufmannMdB,NA,https://twitter.com/StefanKaufmann,1,7,1,258,Stuttgart I,8,1,1,1,1969,Stuttgart,Stuttgart,MdB / Rechtsanwalt,51752254
1280,Natterer,Christian,NA,NA,https://www.facebook.com/christian.natterer.9,NA,https://twitter.com/christ_natterer,1,9,0,NA,NA,8,0,1,1,1981,Wangen im Allgäu,Tettnang,Dipl.-Kaufmann,166688802
1282,Wetterich,Susanne,NA,NA,www.facebook.com/susanne.wetterich,NA,https://twitter.com/SusanneWette,1,11,0,NA,NA,8,0,1,0,1956,Stuttgart,Freiburg im Breisgau,Journalistin,21223551
1306,Zippelius,Nicolas,NA,NA,www.facebook.com/nicolas.zippelius,NA,https://twitter.com/NZippelius,1,35,0,NA,NA,8,0,1,1,1987,Weingarten (Baden),Karlsruhe,Geschäftsführer,1560104953
1308,Zander,Oliver Peter,NA,NA,https://www.facebook.com/oliver.zander.104,NA,https://twitter.com/ZanderCDU,1,37,0,NA,NA,8,0,1,1,1965,Leonberg,Stuttgart,Prokurist,2286995959
1327,Lanig,Theresia,NA,NA,https://www.facebook.com/theresia.lanig,NA,https://twitter.com/TheresiaLanig,1,56,0,NA,NA,8,0,1,0,1989,Bad Mergentheim,Bad Mergentheim,Büroleiterin,485547129
1334,Grübel,Markus,NA,NA,https://www.facebook.com/Markus-Grübel-127441196853/,https://www.facebook.com/markus.grubel.1,https://twitter.com/GruebelMdb,0,NA,1,261,Esslingen,8,1,1,1,1959,Esslingen am Neckar,Esslingen am Neckar,MdB / parl. Staatssekretär,796691290016583680
1342,Kiesewetter,Roderich,NA,NA,https://www.facebook.com/roderich.kiesewetter/,NA,http://www.twitter.com/RKiesewetter,0,NA,1,270,Aalen – Heidenheim,8,1,1,1,1963,Aalen,Pfullendorf,MdB,42698498
1344,Whittaker,Kai,NA,NA,https://www.facebook.com/kai.whittaker.cdu/,https://www.facebook.com/kai.whittaker.1,https://twitter.com/Kai_Whittaker,0,NA,1,273,Rastatt,8,1,1,1,1985,Baden-Baden,Baden-Baden,MdB / Wirtschaftswissenschaftler (M. Sc.),2479436480
1347,Harbarth,Stephan,Dr.,NA,https://www.facebook.com/stephan.harbarth.1,NA,https://twitter.com/stephanharbarth,0,NA,1,277,Rhein-Neckar,8,1,1,1,1971,Mühlhausen,Heidelberg,MdB / Rechtsanwalt,56762889
1348,Gutting,Olav,NA,NA,https://www.facebook.com/olav.gutting,NA,http://www.twitter.com/olavgutting,0,NA,1,278,Bruchsal – Schwetzingen,8,1,1,1,1970,Oberhausen-Rheinhausen,Karlsruhe,MdB / Rechtsanwalt,58429842
1350,Fuchtel,Hans-Joachim,NA,NA,https://www.facebook.com/pages/Hans-Joachim-Fuchtel/125061526477,NA,https://twitter.com/fuchtel,0,NA,1,280,Calw,8,1,1,1,1952,Altensteig,Sulz am Neckar,MdB / parl. Staatssekretär,66750542
1351,Schuster,Armin,NA,NA,https://www.facebook.com/armin.schuster,NA,https://twitter.com/armin_schuster,0,NA,1,282,Lörrach – Müllheim,8,1,1,1,1961,Weil am Rhein,Andernach,MdB,395912134
1355,Schreiner,Felix,NA,NA,https://www.facebook.com/felix.schreiner,NA,https://twitter.com/felixschreiner,0,NA,1,288,Waldshut,8,0,1,1,1986,Lauchringen,Waldshut-Tiengen,MdL,162398888
1357,Kemmer,Ronja,NA,NA,https://www.facebook.com/ronja.kemmer/,NA,https://twitter.com/RonjaKemmer,0,NA,1,291,Ulm,8,1,1,0,1989,Erbach,Esslingen am Neckar,MdB,2405039875
1361,Bareiß,Thomas,NA,NA,https://www.facebook.com/thomas.bareiss,NA,https://twitter.com/Thomas_Bareiss,0,NA,1,295,Zollernalb – Sigmaringen,8,1,1,1,1975,Balingen,Albstadt,MdB,2797812265
1363,Breymaier,Leni,NA,NA,www.facebook.com/BreymaierLeni,NA,https://twitter.com/LeniBreymaier,1,1,1,270,Aalen – Heidenheim,8,0,2,0,1960,Eislingen/Fils,Ulm,Einzelhandelskauffrau,748453543632330752
1364,Lange,Christian,NA,NA,https://www.facebook.com/langespd,NA,https://twitter.com/LangeMdB,1,2,1,269,Backnang – Schwäbisch Gmünd,8,1,2,1,1964,Backnang,Saarlouis,MdB / parl. Staatssekretär,328939758
1365,Schwarzelühr-Sutter,Rita,NA,NA,https://www.facebook.com/schwarzeluehrsutter,NA,https://twitter.com/rischwasu,1,3,1,288,Waldshut,8,1,2,0,1962,Lauchringen,Waldshut,MdB / parl. Staatssekretärin,50932086
1366,Binding,Lothar,NA,NA,https://www.facebook.com/lothar.binding,NA,https://twitter.com/lothar_binding,1,4,1,274,Heidelberg,8,1,2,1,1950,Heidelberg,Sandershausen,MdB / Dipl.-Mathematiker,2617281050
1367,Mattheis,Hildegard,NA,NA,www.facebook.com/HildeMattheisMdB,https://www.facebook.com/hilde.mattheis,https://twitter.com/HildeMattheis,1,5,1,291,Ulm,8,1,2,0,1954,Ulm,Finnentrop,MdB,115614153
1368,Schmid,Nils,Dr.,NA,https://www.facebook.com/Nils.Schmid.SPD,NA,https://twitter.com/NilsSchmid,1,6,1,262,Nürtingen,8,0,2,1,1973,Reutlingen,Trier,MdL,83795057
1371,Vogt,Ute,NA,NA,https://www.facebook.com/ute.vogt,NA,https://twitter.com/UteVogt,1,9,1,258,Stuttgart I,8,1,2,0,1964,Stuttgart,Heidelberg,MdB / Rechtsanwältin,106684561
1373,Katzmarek,Gabriele,NA,NA,https://www.facebook.com/GabrieleKatzmarek,https://www.facebook.com/profile.php?id=100006037262587,https://twitter.com/GabyKatzmarek,1,11,1,273,Rastatt,8,1,2,0,1960,Mannheim,Marl,MdB,3017602065
1374,Castellucci,Lars,Dr.,NA,https://www.facebook.com/larscastellucci,https://www.facebook.com/lars.castellucci.5,https://twitter.com/larscastellucci,1,12,1,277,Rhein-Neckar,8,1,2,1,1974,Wiesloch,Heidelberg,MdB / Hochschulprofessor,17469649
1376,Rosemann,Martin,Dr.,NA,https://www.facebook.com/martin.rosemann.5,NA,https://twitter.com/martinrosemann,1,14,1,290,Tübingen,8,1,2,1,1976,Tübingen,Saulgau,MdB / Dipl.-Volkswirt,28784085
1377,Esken,Saskia,NA,NA,https://www.facebook.com/EskenSaskia,https://www.facebook.com/saskiaesken,https://twitter.com/EskenSaskia,1,15,1,280,Calw,8,1,2,0,1961,Calw,Stuttgart,MdB / Informatikerin,1423622834
1378,Juratovic,Josip,NA,NA,https://www.facebook.com/josipjuratovic,NA,https://twitter.com/josip_juratovic,1,16,1,267,Heilbronn,8,1,2,1,1959,Gundelsheim,Koprivnica,MdB / Kfz.-Mechaniker,738731811380076544
1380,Marvi,Parsa,NA,NA,https://www.facebook.com/parsa.marvi,https://www.facebook.com/parsa.marvi.spd,https://twitter.com/ParsaMarvi,1,18,1,271,Karlsruhe-Stadt,8,0,2,1,1982,Karlsruhe,Teheran,Abteilungsleiter Produktmanagement,973597518
1381,Sawade,Annette,NA,NA,www.facebook.com/AnnetteSawade,NA,https://twitter.com/AnnetteSawade,1,19,1,268,Schwäbisch Hall – Hohenlohe,8,1,2,0,1953,Schwäbisch Hall,Nordhausen am Harz,MdB / Dipl.-Chemikerin,1192966249
1382,Rebmann,Stefan,NA,NA,www.facebook.com/stefan.rebmann.96,NA,https://twitter.com/RebmannMdB,1,20,1,275,Mannheim,8,1,2,1,1962,Mannheim,Heidelberg,MdB,313213943
1384,Karaahmetoğlu,Macit,NA,NA,https://www.facebook.com/ma.kara.921,https://www.facebook.com/macit.spd,https://twitter.com/Macit_SPD,1,22,1,265,Ludwigsburg,8,0,2,1,1968,Gerlingen,Rize,Rechtsanwalt,574582030
1385,Kirgiane-Efremidou,Stiliani,NA,NA,www.facebook.com/StellaKirgianeEfremidou,https://www.facebook.com/stellakirgiane,https://twitter.com/Stella_KE,1,23,1,295,Zollernalb – Sigmaringen,8,0,2,0,1965,Weinheim,Thessaloniki,Gastronomin,1161491329
1386,Bender,Julien,NA,NA,https://www.facebook.com/julien.bender.spd,NA,https://twitter.com/rot_fux,1,24,1,281,Freiburg,8,0,2,1,1985,Freiburg im Breisgau,Esslingen am Neckar,wiss. Mitarbeiter,228501328
1387,Hostert,Jasmina,NA,NA,https://www.facebook.com/jasmina.hostert,NA,https://twitter.com/JasminaHostert,1,25,1,260,Böblingen,8,0,2,0,1982,Böblingen,Sarajewo,Politikwissenschaftlerin (M. A.) / Geschäftsführerin,817937942
1388,Löw,Jens,NA,NA,https://www.facebook.com/loew.jens/,NA,https://twitter.com/LoewJU,1,26,1,286,Schwarzwald-Baar,8,0,2,1,1962,Brigachtal,Villingen-Schwenningen,Dipl.-Ingenieur (FH),582402593
1390,Hahn,Leon,NA,NA,www.facebook.com/leonhahn2017,NA,https://twitter.com/LeonHahn,1,28,1,293,Bodensee,8,0,2,1,1991,Friedrichshafen,Salem,Wirtschaftswissenschaftler,129795099
1392,Jantzer,Michael,Dr.,NA,https://www.facebook.com/MichaelJantzerSPD/,NA,https://twitter.com/michael_jantzer,1,30,1,259,Stuttgart II,8,0,2,1,1958,Stuttgart,Sindelfingen,Dipl.-Ingenieur,796357766
1397,Mack,Sybille,NA,NA,www.facebook.com/sybille.mack.spd,NA,https://twitter.com/Sybille_Mack,1,35,1,264,Waiblingen,8,0,2,0,1964,Fellbach,Stuttgart,Volkshochschulleiterin,596537178
1401,Niemeyer,Ralph,NA,NA,www.facebook.com/roterralph,NA,https://twitter.com/RalphTNiemeyer,1,39,0,NA,NA,8,0,2,1,1969,Schwäbisch Gmünd,Berlin,Journalist,226477705
1402,Theurer,Michael,NA,NA,https://www.facebook.com/michael.theurer,https://www.facebook.com/michael.theurer.142,https://twitter.com/EUTheurer,1,1,1,271,Karlsruhe-Stadt,8,0,6,1,1967,Horb am Neckar,Tübingen,MdEP,1108382916
1404,Link,Michael Georg,NA,NA,NA,NA,https://twitter.com/michael_g_link,1,3,1,267,Heilbronn,8,0,6,1,1963,Heilbronn,Heilbronn,Staatsminister a. D.,3034092143
1406,Toncar,Florian,Dr.,NA,https://www.facebook.com/FlorianToncar2017,https://www.facebook.com/florian.toncar,https://twitter.com/florian_toncar,1,5,1,260,Böblingen,8,0,6,1,1979,Frankfurt am Main,Hamburg,Rechtsanwalt,17462171
1409,Strasser,Benjamin,NA,NA,https://www.facebook.com/strasser.fdp,https://www.facebook.com/strasserbenjamin,https://twitter.com/bstrasser,1,8,1,294,Ravensburg,8,0,6,1,1987,Berg,Weingarten,Rechtsanwalt,29540300
1410,Brandenburg,Jens,Dr.,NA,https://www.facebook.com/JensBrandenburgFDP,https://www.facebook.com/JensBrandenburg2,https://twitter.com/JBrandenburgFDP,1,9,1,277,Rhein-Neckar,8,0,6,1,1986,Mannheim,Simmerath,Unternehmensberater,857906951707127808
1413,Jung,Christian,Dr.,NA,https://www.facebook.com/christianjungfdp,https://www.facebook.com/profile.php?id=100012429517326,https://twitter.com/c_jung77,1,12,1,272,Karlsruhe-Land,8,0,6,1,1977,Bruchsal,Heidelberg,Studiendirektor,740178046649565184
1414,Gohl,Christopher,Dr.,NA,https://www.facebook.com/loffergohl,https://www.facebook.com/christophergohl.fdp,https://twitter.com/lofferg,1,13,1,290,Tübingen,8,0,6,1,1974,Tübingen,Stuttgart,wiss. Assistent,283033082
1417,Poznanski,Daniel,NA,NA,https://www.facebook.com/Daniel-Poznanski-50979599625,https://www.facebook.com/daniel.poznanski,https://twitter.com/DanielPoznanski,1,16,1,288,Waldshut,8,0,6,1,1971,Bonndorf im Schwarzwald,München,Geschäftsführer,24681345
1424,Abel,Valentin Christian,NA,NA,https://www.facebook.com/valentinabel.fdp,https://www.facebook.com/TheRealVCA,https://twitter.com/Valentin_C_Abel,1,23,1,268,Schwäbisch Hall – Hohenlohe,8,0,6,1,1991,Schöntal,Künzelsau,kfm. Angestellter,1699863337
1431,Semmler,Hans-Peter,NA,NA,https://www.facebook.com/HPSFDP,https://www.facebook.com/hpsemmler.de,https://twitter.com/hps_bw,1,30,1,263,Göppingen,8,0,6,1,1978,Bad Boll,Göppingen,Geschäftsführer,203920098
1436,Weil,Volker,NA,NA,https://www.facebook.com/volkerweilfdp,NA,https://twitter.com/VolkerWeilFDP,1,35,1,259,Stuttgart II,8,0,6,1,1968,Stuttgart,Gräfelfing,Dipl.-Ökonom,845752848050728960
1441,Andreae,Kerstin,NA,NA,https://www.facebook.com/kerstin.andreae,https://www.facebook.com/kerstin.andreae.7,https://twitter.com/kerstinandreae,1,1,1,281,Freiburg,8,1,4,0,1968,Freiburg im Breisgau,Schramberg,Dipl.-Volkswirtin,41548943
1442,Özdemir,Cem,NA,NA,https://www.facebook.com/Cem,NA,https://twitter.com/cem_oezdemir,1,2,1,258,Stuttgart I,8,1,4,1,1965,Berlin,Bad Urach,MdB,19108766
